max,min,wind,rain,humidi,cloud,pressure,date,temp
29,22,6,18.5,89,68,1010,2009-01-01,36.5753061543301
34,24,5,0.0,59,20,1010,2010-01-01,32.778359213500124
29,23,4,0.2,81,42,1008,2011-01-01,34.69
32,23,7,1.8,76,35,1012,2012-01-01,34.142549213361235
33,24,4,0.0,69,15,1010,2013-01-01,31.62
29,21,5,0.0,72,29,1012,2014-01-01,30.87835921350013
31,22,5,0.2,72,30,1012,2015-01-01,32.54835921350013
34,23,7,0.0,57,8,1015,2016-01-01,29.692549213361247
32,24,7,1.9,74,28,1011,2017-01-01,33.16754921336125
33,23,5,0.0,59,19,1010,2018-01-01,31.57835921350013
29,24,17,3.3,66,51,1013,2019-01-01,35.05113662462941
35,24,9,0.0,51,11,1014,2020-01-01,30.939999999999998
30,23,8,0.0,63,35,1011,2021-01-01,33.02294372515229
25,22,6,7.2,87,68,1012,2009-01-03,36.27030615433009
33,26,7,0.0,65,37,1010,2010-01-03,36.552549213361246
33,23,4,0.1,73,51,1009,2011-01-03,38.365
30,23,6,0.1,79,43,1012,2012-01-03,35.17530615433009
34,25,3,5.2,68,27,1011,2013-01-03,34.40076951545867
32,22,5,0.0,74,15,1012,2014-01-03,30.118359213500128
32,22,6,0.0,67,25,1012,2015-01-03,31.850306154330095
33,25,7,3.4,70,45,1014,2016-01-03,37.32254921336125
33,23,8,0.0,70,25,1010,2017-01-03,32.64294372515228
34,24,6,0.0,64,14,1009,2018-01-03,31.5303061543301
31,23,15,3.5,73,47,1013,2019-01-03,35.01120999227555
35,25,7,0.0,59,16,1013,2020-01-03,32.79254921336125
31,24,4,2.5,70,59,1010,2021-01-03,39.065
29,21,4,0.5,83,40,1011,2009-01-04,33.345
35,25,9,0.1,61,42,1009,2010-01-04,37.725
28,24,4,2.8,83,58,1009,2011-01-04,37.56
31,23,5,0.1,77,32,1013,2012-01-04,33.583359213500124
32,25,4,0.5,70,33,1009,2013-01-04,35.144999999999996
33,23,6,3.0,74,38,1011,2014-01-04,35.120306154330095
32,24,4,0.0,71,31,1010,2015-01-04,34.36
30,24,5,0.6,74,52,1012,2016-01-04,37.42835921350012
32,23,8,4.4,71,38,1010,2017-01-04,34.102943725152286
34,25,6,0.0,66,29,1008,2018-01-04,35.050306154330094
32,25,18,0.0,71,18,1013,2019-01-04,30.974415587728434
34,24,5,0.0,61,15,1012,2020-01-04,31.858359213500126
